Country_code,Country_name,ISO_Alpha3,Year,Cause_Group,Sex,Total_deaths
1300,Mauritius,MUS,2016,D,1,60
1300,Mauritius,MUS,2016,D,2,70
1300,Mauritius,MUS,2016,E,1,1285
1300,Mauritius,MUS,2016,E,2,1108
1300,Mauritius,MUS,2016,F,1,70
1300,Mauritius,MUS,2016,F,2,8
1300,Mauritius,MUS,2016,G,1,109
1300,Mauritius,MUS,2016,G,2,55
1300,Mauritius,MUS,2016,I,1,1817
1300,Mauritius,MUS,2016,I,2,1673
1300,Mauritius,MUS,2016,J,1,490
1300,Mauritius,MUS,2016,J,2,392
1300,Mauritius,MUS,2016,K,1,245
1300,Mauritius,MUS,2016,K,2,102
1300,Mauritius,MUS,2016,L,1,22
1300,Mauritius,MUS,2016,L,2,26
1300,Mauritius,MUS,2016,M,1,5
1300,Mauritius,MUS,2016,M,2,14
1300,Mauritius,MUS,2016,N,1,87
1300,Mauritius,MUS,2016,N,2,71
1300,Mauritius,MUS,2016,O,2,6
1300,Mauritius,MUS,2016,P,1,43
1300,Mauritius,MUS,2016,P,2,39
1300,Mauritius,MUS,2016,Q,1,29
1300,Mauritius,MUS,2016,Q,2,24
1300,Mauritius,MUS,2016,R,1,62
1300,Mauritius,MUS,2016,R,2,62
1300,Mauritius,MUS,2016,V,1,152
1300,Mauritius,MUS,2016,V,2,13
1300,Mauritius,MUS,2016,W,1,95
1300,Mauritius,MUS,2016,W,2,22
1300,Mauritius,MUS,2016,X,1,120
1300,Mauritius,MUS,2016,X,2,39
1300,Mauritius,MUS,2016,Y,1,32
1300,Mauritius,MUS,2016,Y,2,24
1300,Mauritius,MUS,2017,A,1,5496
1300,Mauritius,MUS,2017,A,2,4515
1300,Mauritius,MUS,2017,B,1,108
1300,Mauritius,MUS,2017,B,2,30
1300,Mauritius,MUS,2017,C,1,633
1300,Mauritius,MUS,2017,C,2,684
1300,Mauritius,MUS,2017,D,1,54
1300,Mauritius,MUS,2017,D,2,75
1300,Mauritius,MUS,2017,E,1,1216
1300,Mauritius,MUS,2017,E,2,1150
1300,Mauritius,MUS,2017,F,1,88
1300,Mauritius,MUS,2017,F,2,7
1300,Mauritius,MUS,2017,G,1,82
1300,Mauritius,MUS,2017,G,2,55
1300,Mauritius,MUS,2017,I,1,1714
1300,Mauritius,MUS,2017,I,2,1492
1300,Mauritius,MUS,2017,J,1,602
1300,Mauritius,MUS,2017,J,2,430
1300,Mauritius,MUS,2017,K,1,232
1300,Mauritius,MUS,2017,K,2,118
1300,Mauritius,MUS,2017,L,1,29
1300,Mauritius,MUS,2017,L,2,31
1300,Mauritius,MUS,2017,M,1,5
1300,Mauritius,MUS,2017,M,2,18
1300,Mauritius,MUS,2017,N,1,90
1300,Mauritius,MUS,2017,N,2,68
1300,Mauritius,MUS,2017,O,2,10
1300,Mauritius,MUS,2017,P,1,57
1300,Mauritius,MUS,2017,P,2,36
1300,Mauritius,MUS,2017,Q,1,27
1300,Mauritius,MUS,2017,Q,2,17
1300,Mauritius,MUS,2017,R,1,64
1300,Mauritius,MUS,2017,R,2,64
1300,Mauritius,MUS,2017,V,1,139
1300,Mauritius,MUS,2017,V,2,29
1300,Mauritius,MUS,2017,W,1,92
1300,Mauritius,MUS,2017,W,2,27
1300,Mauritius,MUS,2017,X,1,120
1300,Mauritius,MUS,2017,X,2,43
1300,Mauritius,MUS,2017,Y,1,44
1300,Mauritius,MUS,2017,Y,2,37
1300,Mauritius,MUS,2018,A,1,5998
1300,Mauritius,MUS,2018,A,2,4894
1300,Mauritius,MUS,2018,B,1,115
1300,Mauritius,MUS,2018,B,2,29
1300,Mauritius,MUS,2018,C,1,648
1300,Mauritius,MUS,2018,C,2,670
